accession	Kingdom	Phylum	Class	Order	Family	Genus	OTU
K16137						"TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon"	K16137
K16138						"TetR/AcrR family transcriptional regulator, repressor for uid operon"	K16138
K16139						glucuronide carrier protein	K16139
K16146						maltokinase [EC:2.7.1.175]	K16146
K16147						starch synthase (maltosyl-transferring) [EC:2.4.99.16]	K16147
K16148						alpha-maltose-1-phosphate synthase [EC:2.4.1.342]	K16148
K16149						"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"	K16149
K16150						glycogen synthase [EC:2.4.1.11]	K16150
K16163						maleylpyruvate isomerase [EC:5.2.1.4]	K16163
K16164						acylpyruvate hydrolase [EC:3.7.1.5]	K16164
K16165						fumarylpyruvate hydrolase [EC:3.7.1.20]	K16165
K16167						alkylresorcinol/alkylpyrone synthase	K16167
K16168						methyltransferase	K16168
K16171						fumarylacetoacetate (FAA) hydrolase [EC:3.7.1.2]	K16171
K16173						glutaryl-CoA dehydrogenase (non-decarboxylating) [EC:1.3.99.32]	K16173
K16179						dimethylamine corrinoid protein	K16179
K16185						Ras-related GTP-binding protein A/B	K16185
K16186						Ras-related GTP-binding protein C/D	K16186
K16188						tetraprenyl-beta-curcumene synthase [EC:4.2.3.130]	K16188
K16190						glucuronokinase [EC:2.7.1.43]	K16190
K16191						peptidoglycan-binding protein ArfA	K16191
K16192						uncharacterized membrane protein ArfB	K16192
K16193						uncharacterized membrane protein ArfC	K16193
K16196						eukaryotic translation initiation factor 2-alpha kinase 4 [EC:2.7.11.1]	K16196
K16203						D-amino peptidase [EC:3.4.11.-]	K16203
K16210						oligogalacturonide transporter	K16210
K16211						maltose/moltooligosaccharide transporter	K16211
K16212						4-O-beta-D-mannosyl-D-glucose phosphorylase [EC:2.4.1.281]	K16212
K16213						cellobiose epimerase [EC:5.1.3.11]	K16213
K16214						UDP-N-acetylglucosamine kinase [EC:2.7.1.176]	K16214
K16216						benzil reductase ((S)-benzoin forming) [EC:1.1.1.320]	K16216
K16218						2-methylisoborneol synthase [EC:4.2.3.118]	K16218
K16219						protein N-terminal methyltransferase [EC:2.1.1.244]	K16219
K16227						glycopeptidolipid biosynthesis protein	K16227
K16230						transcriptional activator HAC1	K16230
K16231						fungal type III polyketide synthase	K16231
K16233						alpha-pyrone synthase	K16233
K16238						ethanolamine permease	K16238
K16239						4-hydroxybenzoate decarboxylase subunit C [EC:4.1.1.61]	K16239
K16242						phenol/toluene 2-monooxygenase (NADH) P3/A3 [EC:1.14.13.244 1.14.13.243]	K16242
K16244						phenol/toluene 2-monooxygenase (NADH) P2/A2 [EC:1.14.13.244 1.14.13.243]	K16244
K16247						"LuxR family transcriptional regulator, glucitol operon activator"	K16247
K16254						mxaJ protein	K16254
K16255						cytochrome c-L	K16255
K16256						mxaA protein	K16256
K16257						mxaC protein	K16257
K16258						mxaK protein	K16258
K16259						mxaL protein	K16259
K16260						mxaD protein	K16260
K16261						yeast amino acid transporter	K16261
K16263						amino acid efflux transporter	K16263
K16264						cobalt-zinc-cadmium efflux system protein	K16264
K16267						zinc and cadmium transporter	K16267
K16275						E3 ubiquitin-protein ligase BAH [EC:2.3.2.27]	K16275
K16291						"L,D-transpeptidase ErfK/SrfK"	K16291
K16301						deferrochelatase/peroxidase EfeB [EC:1.11.1.-]	K16301
K16302						metal transporter CNNM	K16302
K16303						"p-cumate 2,3-dioxygenase subunit beta [EC:1.14.12.25]"	K16303
K16304						"p-cumate 2,3-dioxygenase ferredoxin component"	K16304
K16315						serine/threonine-protein kinase haspin [EC:2.7.11.1]	K16315
K16318						tRNA (guanine6-N2)-methyltransferase [EC:2.1.1.256]	K16318
K16319						"anthranilate 1,2-dioxygenase large subunit [EC:1.14.12.1]"	K16319
K16320						"anthranilate 1,2-dioxygenase small subunit [EC:1.14.12.1]"	K16320
K16328						pseudouridine kinase [EC:2.7.1.83]	K16328
K16329						pseudouridylate synthase [EC:4.2.1.70]	K16329
K16342						cytosolic phospholipase A2 [EC:3.1.1.4]	K16342
K16345						xanthine permease XanP	K16345
K16348						entericidin B	K16348
K16363						UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	K16363
K16368						diacylglycerol kinase (CTP) [EC:2.7.1.174]	K16368
K16369						phosphatidylethanolamine N-methyltransferase [EC:2.1.1.17]	K16369
K16370						6-phosphofructokinase 2 [EC:2.7.1.11]	K16370
K16371						"D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ"	K16371
K16421						4-hydroxymandelate synthase [EC:1.13.11.46]	K16421
K16422						4-hydroxymandelate oxidase [EC:1.1.3.46]	K16422
K16423						"(S)-3,5-dihydroxyphenylglycine transaminase [EC:2.6.1.103]"	K16423
K16424						"3,5-dihydroxyphenylacetyl-CoA synthase [EC:2.3.1.246]"	K16424
K16427						"(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase [EC:1.13.11.80]"	K16427
K16431						FAD-dependent halogenase [EC:1.14.19.-]	K16431
K16435						"dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase [EC:4.2.1.159]"	K16435
K16436						"dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose/dTDP-2,6-dideoxy-D-kanosamine transaminase [EC:2.6.1.- 2.6.1.106]"	K16436
K16438						5-epimerase [EC:5.1.3.-]	K16438
K16444						vancomycin aglycone glucosyltransferase [EC:2.4.1.310]	K16444
K16482						centriolar protein POC1	K16482
K16489						protein SFI1	K16489
K16514						4-oxalomesaconate tautomerase [EC:5.3.2.8]	K16514
K16515						4-oxalomesaconate hydratase [EC:4.2.1.83]	K16515
K16516						"LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway"	K16516
K16552						polysaccharide biosynthesis/export protein ExoF	K16552
K16554						polysaccharide biosynthesis transport protein	K16554
K16555						succinoglycan biosynthesis protein ExoO [EC:2.4.-.-]	K16555
K16556						succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]	K16556
K16557						succinoglycan biosynthesis protein ExoA [EC:2.4.-.-]	K16557
K16558						succinoglycan biosynthesis protein ExoL [EC:2.-.-.-]	K16558
K16559						"endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]"	K16559
K16560						succinoglycan biosynthesis protein ExoH	K16560
K16563						succinoglycan biosynthesis protein ExoV	K16563
K16564						succinoglycan biosynthesis protein ExoU [EC:2.4.-.-]	K16564
K16566						exopolysaccharide production protein ExoY	K16566
K16567						exopolysaccharide production protein ExoQ	K16567
K16568						exopolysaccharide production protein ExoZ	K16568
K16569						gamma-tubulin complex component 2	K16569
K16570						gamma-tubulin complex component 3	K16570
K16572						gamma-tubulin complex component 5	K16572
K16578						CLIP-associating protein 1/2	K16578
K16584						HAUS augmin-like complex subunit 1	K16584
K16639						endoribonuclease LACTB2 [EC:3.1.27.-]	K16639
K16645						heparin binding hemagglutinin HbhA	K16645
K16647						arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.47]	K16647
K16648						arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.-]	K16648
K16649						"rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]"	K16649
K16650						"galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase [EC:2.4.1.288]"	K16650
K16651						L-threonine kinase [EC:2.7.1.177]	K16651
K16652						decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase [EC:1.1.1.333]	K16652
K16653						decaprenylphospho-beta-D-ribofuranose 2-oxidase [EC:1.1.98.3]	K16653
K16692						tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]	K16692
K16693						enterobacterial common antigen flippase	K16693
K16694						teichuronic acid exporter	K16694
K16695						lipopolysaccharide exporter	K16695
K16697						teichuronic acid biosynthesis glycosyltransferase TuaC [EC:2.4.-.-]	K16697
K16698						teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]	K16698
K16699						teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-]	K16699
K16703						colanic acid/amylovoran biosynthesis glycosyltransferase [EC:2.4.-.-]	K16703
K16704						"dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase [EC:2.3.1.210]"	K16704
K16710						colanic acid/amylovoran biosynthesis protein	K16710
K16732						protein regulator of cytokinesis 1	K16732
K16743						abnormal spindle-like microcephaly-associated protein	K16743
K16784						biotin transport system ATP-binding protein [EC:3.6.3.-]	K16784
K16785						energy-coupling factor transport system permease protein	K16785
K16794						platelet-activating factor acetylhydrolase IB subunit alpha	K16794
K16795						platelet-activating factor acetylhydrolase IB subunit beta/gamma [EC:3.1.1.47]	K16795
K16817						HRAS-like suppressor 3 [EC:3.1.1.32 3.1.1.4]	K16817
K16830						aurora kinase A-interacting protein	K16830
K16833						protein phosphatase inhibitor 2	K16833
K16838						urate oxidase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:1.7.3.3 4.1.1.97]	K16838
K16839						FAD-dependent urate hydroxylase [EC:1.14.13.113]	K16839
K16840						2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]	K16840
K16841						allantoin racemase [EC:5.1.99.3]	K16841
K16842						allantoinase [EC:3.5.2.5]	K16842
K16843						(S)-sulfolactate dehydrogenase [EC:1.1.1.310]	K16843
K16844						(2R)-3-sulfolactate dehydrogenase (NADP+) [EC:1.1.1.338]	K16844
K16845						(2R)-sulfolactate sulfo-lyase subunit alpha [EC:4.4.1.24]	K16845
K16846						(2R)-sulfolactate sulfo-lyase subunit beta [EC:4.4.1.24]	K16846
K16849						altronate dehydratase small subunit [EC:4.2.1.7]	K16849
K16850						altronate dehydratase large subunit [EC:4.2.1.7]	K16850
K16862						mitochondrial cardiolipin hydrolase [EC:3.1.4.-]	K16862
K16868						tellurite methyltransferase [EC:2.1.1.265]	K16868
K16870						N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]	K16870
K16871						4-aminobutyrate---pyruvate transaminase [EC:2.6.1.96]	K16871
K16872						beta-ketodecanoyl-[acyl-carrier-protein] synthase [EC:2.3.1.207]	K16872
K16873						5-(hydroxymethyl)furfural/furfural oxidase [EC:1.1.3.47 1.1.3.-]	K16873
K16874						"2,5-furandicarboxylate decarboxylase 1"	K16874
K16876						2-furoate---CoA ligase [EC:6.2.1.31]	K16876
K16877						2-furoyl-CoA dehydrogenase large subunit [EC:1.3.99.8]	K16877
K16878						2-furoyl-CoA dehydrogenase FAD binding subunit [EC:1.3.99.8]	K16878
K16879						2-furoyl-CoA dehydrogenase 2Fe-2S iron sulfur subunit [EC:1.3.99.8]	K16879
K16880						2-oxoglutaroyl-CoA hydrolase	K16880
K16881						mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8]	K16881
K16898						ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]	K16898
K16899						ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]	K16899
K16904						dCTP diphosphatase [EC:3.6.1.12]	K16904
K16912						ribosomal biogenesis protein LAS1	K16912
K16915						nickel transport protein	K16915
K16922						putative peptide zinc metalloprotease protein	K16922
K16923						energy-coupling factor transport system substrate-specific component	K16923
K16925						energy-coupling factor transport system substrate-specific component	K16925
K16927						energy-coupling factor transport system substrate-specific component	K16927
K16928						energy-coupling factor transport system substrate-specific component	K16928
K16937						thiosulfate dehydrogenase (quinone) large subunit [EC:1.8.5.2]	K16937
K16944						septin 7	K16944
K16945						cell division control protein 11	K16945
K16948						cell division control protein 12	K16948
K16968						methanesulfonate monooxygenase subunit alpha [EC:1.14.13.111]	K16968
K16969						methanesulfonate monooxygenase subunit beta [EC:1.14.13.111]	K16969
K17053						tRNAThr (cytosine32-N3)-methyltransferase [EC:2.1.1.268]	K17053
K17064						D-2-hydroxyacid dehydrogenase (NADP+) [EC:1.1.1.272]	K17064
K17067						formaldehyde dismutase / methanol dehydrogenase [EC:1.2.98.1 1.1.99.37]	K17067
K17081						prohibitin 2	K17081
K17103						CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]	K17103
K17104						phosphoglycerol geranylgeranyltransferase [EC:2.5.1.41]	K17104
K17105						geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42]	K17105
K17108						non-lysosomal glucosylceramidase [EC:3.2.1.45]	K17108
K17202						erythritol transport system substrate-binding protein	K17202
K17203						erythritol transport system permease protein	K17203
K17204						erythritol transport system ATP-binding protein	K17204
K17208						inositol transport system substrate-binding protein	K17208
K17209						inositol transport system permease protein	K17209
K17210						inositol transport system ATP-binding protein	K17210
K17213						inositol transport system substrate-binding protein	K17213
K17214						inositol transport system permease protein	K17214
K17215						inositol transport system ATP-binding protein	K17215
K17218						sulfide:quinone oxidoreductase [EC:1.8.5.4]	K17218
K17222						L-cysteine S-thiosulfotransferase [EC:2.8.5.2]	K17222
K17223						L-cysteine S-thiosulfotransferase [EC:2.8.5.2]	K17223
K17224						S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20]	K17224
K17225						sulfane dehydrogenase subunit SoxC	K17225
K17226						sulfur-oxidizing protein SoxY	K17226
K17227						sulfur-oxidizing protein SoxZ	K17227
K17228						dimethylsulfone monooxygenase [EC:1.14.14.35]	K17228
K17229						sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3]	K17229
K17230						cytochrome subunit of sulfide dehydrogenase	K17230
K17231						iodotyrosine deiodinase [EC:1.21.1.1]	K17231
K17240						inositol-phosphate transport system ATP-binding protein	K17240
K17241						"alpha-1,4-digalacturonate transport system substrate-binding protein"	K17241
K17242						"alpha-1,4-digalacturonate transport system permease protein"	K17242
K17243						"alpha-1,4-digalacturonate transport system permease protein"	K17243
K17245						putative chitobiose transport system permease protein	K17245
K17246						putative chitobiose transport system permease protein	K17246
K17247						methionine sulfoxide reductase heme-binding subunit	K17247
K17248						"N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase [EC:2.4.1.291]"	K17248
K17249						"GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase [EC:2.4.1.292]"	K17249
K17255						Rab GDP dissociation inhibitor	K17255
K17257						integrin alpha FG-GAP repeat containing protein 1	K17257
K17260						actin-related protein 2	K17260
K17261						adenylyl cyclase-associated protein	K17261
K17262						tubulin-specific chaperone B	K17262
K17263						cullin-associated NEDD8-dissociated protein 1	K17263
K17266						major vault protein	K17266
K17267						coatomer subunit gamma	K17267
K17268						coatomer subunit epsilon	K17268
K17278						membrane-associated progesterone receptor component	K17278
K17285						methanethiol oxidase [EC:1.8.3.4]	K17285
K17286						erythrocyte band 7 integral membrane protein	K17286
K17290						oxidoreductase [EC:1.1.1.-]	K17290
K17292						tubulin-specific chaperone A	K17292
K17301						coatomer subunit beta	K17301
K17302						coatomer subunit beta'	K17302
K17315						glucose/mannose transport system substrate-binding protein	K17315
K17316						glucose/mannose transport system permease protein	K17316
K17317						glucose/mannose transport system permease protein	K17317
K17318						putative aldouronate transport system substrate-binding protein	K17318
K17319						putative aldouronate transport system permease protein	K17319
K17320						putative aldouronate transport system permease protein	K17320
K17321						glycerol transport system substrate-binding protein	K17321
K17322						glycerol transport system permease protein	K17322
K17323						glycerol transport system permease protein	K17323
K17324						glycerol transport system ATP-binding protein	K17324
K17325						glycerol transport system ATP-binding protein	K17325
K17326						xylobiose transport system substrate-binding protein	K17326
K17327						xylobiose transport system permease protein	K17327
K17328						xylobiose transport system permease protein	K17328
K17329						"N,N'-diacetylchitobiose transport system substrate-binding protein"	K17329
K17330						"N,N'-diacetylchitobiose transport system permease protein"	K17330
K17331						"N,N'-diacetylchitobiose transport system permease protein"	K17331
K17361						acyl-coenzyme A thioesterase 9 [EC:3.1.2.-]	K17361
K17362						acyl-coenzyme A thioesterase 13 [EC:3.1.2.-]	K17362
K17382						"serine beta-lactamase-like protein LACTB, mitochondrial"	K17382
K17402						small subunit ribosomal protein S23	K17402
K17408						small subunit ribosomal protein S29	K17408
K17411						small subunit ribosomal protein S33	K17411
K17413						small subunit ribosomal protein S35	K17413
K17417						small subunit ribosomal protein YMR-31	K17417
K17421						large subunit ribosomal protein L40	K17421
K17422						large subunit ribosomal protein L41	K17422
K17425						large subunit ribosomal protein L44 [EC:3.1.26.-]	K17425
K17427						large subunit ribosomal protein L46	K17427
K17428						large subunit ribosomal protein L47	K17428
K17430						large subunit ribosomal protein L49	K17430
K17434						large subunit ribosomal protein L53	K17434
K17435						large subunit ribosomal protein L54	K17435
K17437						large subunit ribosomal protein L15	K17437
K17439						large subunit ribosomal protein L35	K17439
K17440						large subunit ribosomal protein MRP49	K17440
K17450						homoaconitase [EC:4.2.1.-]	K17450
K17462						putative AdoMet-dependent methyltransferase [EC:2.1.1.-]	K17462
K17468						D-glucosaminate-6-phosphate ammonia-lyase [EC:4.3.1.29]	K17468
K17472						"Rrf2 family transcriptional regulator, cysteine metabolism repressor"	K17472
K17488						GTP cyclohydrolase IV [EC:3.5.4.39]	K17488
K17491						protein phosphatase 4 regulatory subunit 3	K17491
K17496						mitochondrial import inner membrane translocase subunit TIM50	K17496
K17497						phosphomannomutase [EC:5.4.2.8]	K17497
K17498						transcription factor SPN1	K17498
K17508						protein phosphatase PTC7 [EC:3.1.3.16]	K17508
K17541						SCY1-like protein 2	K17541
K17550						protein phosphatase 1 regulatory subunit 7	K17550
K17560						unconventional prefoldin RPB5 interactor 1	K17560
K17583						nucleolar MIF4G domain-containing protein 1	K17583
K17592						sacsin	K17592
K17600						vacuolar protein sorting-associated protein 54	K17600
K17604						zinc finger SWIM domain-containing protein 3	K17604
K17605						serine/threonine-protein phosphatase 2A activator	K17605
K17606						immunoglobulin-binding protein 1	K17606
K17607						type 2A phosphatase activator TIP41	K17607
K17608						striatin 1/3/4	K17608
K17609						nucleoredoxin [EC:1.8.1.8]	K17609
K17619						magnesium-dependent phosphatase 1 [EC:3.1.3.48 3.1.3.-]	K17619
K17623						pseudouridine 5'-phosphatase [EC:3.1.3.96]	K17623
K17637						exocyst complex component 2	K17637
K17641						beta-xylosidase	K17641
K17643						noranthrone monooxygenase [EC:1.13.12.20]	K17643
K17644						norsolorinic acid ketoreductase [EC:1.1.1.349]	K17644
K17652						5'-hydroxyaverantin dehydrogenase [EC:1.1.1.352]	K17652
K17656						mitochondrial splicing suppressor protein 51	K17656
K17662						cytochrome b pre-mRNA-processing protein 3	K17662
K17669						pentatricopeptide repeat-containing protein PET309	K17669
K17675						ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]	K17675
K17676						cruciform cutting endonuclease 1	K17676
K17677						ATP-dependent helicase IRC3 [EC:3.6.4.-]	K17677
K17678						"ATP-dependent RNA helicase MRH4, mitochondrial [EC:3.6.4.13]"	K17678
K17679						"ATP-dependent RNA helicase MSS116, mitochondrial [EC:3.6.4.13]"	K17679
K17686						P-type Cu+ transporter [EC:7.2.2.8]	K17686
K17713						outer membrane protein assembly factor BamB	K17713
K17714						sorting and assembly machinery component 37	K17714
K17717						phospholipase D [EC:3.1.4.4]	K17717
K17722						dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]	K17722
K17723						dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]	K17723
K17724						aconitate decarboxylase [EC:4.1.1.6]	K17724
K17725						sulfur dioxygenase [EC:1.13.11.18]	K17725
K17733						peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]	K17733
K17734						serine protease AprX [EC:3.4.21.-]	K17734
K17735						carnitine 3-dehydrogenase [EC:1.1.1.108]	K17735
K17737						"LysR family transcriptional regulator, carnitine catabolism transcriptional activator"	K17737
K17739						tetrahydroxynaphthalene reductase [EC:1.1.1.252]	K17739
K17740						scytalone dehydratase [EC:4.2.1.94]	K17740
K17741						NADPH-dependent methylglyoxal reductase [EC:1.1.1.283]	K17741
K17742						sorbose reductase [EC:1.1.1.289]	K17742
K17744						L-galactose dehydrogenase [EC:1.1.1.316]	K17744
K17752						serine/threonine-protein kinase RsbT [EC:2.7.11.1]	K17752
K17756						long-chain-alcohol oxidase [EC:1.1.3.20]	K17756
K17758						ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]	K17758
K17759						NAD(P)H-hydrate epimerase [EC:5.1.99.6]	K17759
K17760						quinohemoprotein ethanol dehydrogenase [EC:1.1.9.1]	K17760
K17762						rsbT antagonist protein RsbS	K17762
K17763						rsbT co-antagonist protein RsbR	K17763
K17764						maintenance of mitochondrial morphology protein 1	K17764
K17765						mitochondrial distribution and morphology protein 12	K17765
K17768						mitochondrial import receptor subunit TOM70	K17768
K17769						mitochondrial import receptor subunit TOM22	K17769
K17774						mitochondrial distribution and morphology protein 10	K17774
K17775						mitochondrial distribution and morphology protein 34	K17775
K17776						metaxin	K17776
K17778						mitochondrial import inner membrane translocase subunit TIM10	K17778
K17782						mitochondrial intermembrane space import and assembly protein 40	K17782
K17783						mitochondrial FAD-linked sulfhydryl oxidase [EC:1.8.3.2]	K17783
K17785						mitofilin	K17785
K17786						mitochondrial organizing structure protein 2	K17786
K17787						altered inheritance of mitochondria protein 5	K17787
K17788						altered inheritance of mitochondria protein 13	K17788
K17792						mitochondrial import inner membrane translocase subunit TIM54	K17792
K17794						mitochondrial import inner membrane translocase subunit TIM23	K17794
K17795						mitochondrial import inner membrane translocase subunit TIM17	K17795
K17796						mitochondrial import inner membrane translocase subunit TIM21	K17796
K17800						"LETM1 and EF-hand domain-containing protein 1, mitochondrial"	K17800
K17801						mitochondrial protein MBA1	K17801
K17803						"methyltransferase OMS1, mitochondrial [EC:2.1.1.-]"	K17803
K17804						mitochondrial import inner membrane translocase subunit TIM44	K17804
K17806						mitochondrial import inner membrane translocase subunit TIM23	K17806
K17807						mitochondrial translocator assembly and maintenance protein 41	K17807
K17808						mitochondrial protein import protein ZIM17	K17808
K17810						D-aspartate ligase [EC:6.3.1.12]	K17810
K17811						halimadienyl-diphosphate synthase [EC:5.5.1.16]	K17811
K17815						exonuclease V [EC:3.1.-.-]	K17815
K17818						D-arabinitol dehydrogenase (NADP+) [EC:1.1.1.287]	K17818
K17819						beta-apo-4'-carotenal oxygenase [EC:1.2.1.82]	K17819
K17828						dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]	K17828
K17829						crotonyl-CoA reductase [EC:1.3.1.86]	K17829
K17830						digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]	K17830
K17835						3-amino-4-hydroxybenzoic acid synthase [EC:4.1.99.20]	K17835
K17836						beta-lactamase class A [EC:3.5.2.6]	K17836
K17837						metallo-beta-lactamase class B [EC:3.5.2.6]	K17837
K17838						beta-lactamase class D [EC:3.5.2.6]	K17838
K17840						aminoglycoside 2'-N-acetyltransferase I [EC:2.3.1.59]	K17840
K17841						15-cis-phytoene synthase / lycopene beta-cyclase [EC:2.5.1.32 5.5.1.19]	K17841
K17850						"LysR family transcriptional regulator, regulator of gene expression of beta-lactamase"	K17850
K17862						linoleate 10R-lipoxygenase [EC:1.13.11.62]	K17862
K17865						3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]	K17865
K17866						diphthamide biosynthesis protein 2	K17866
K17867						diphthamide biosynthesis protein 4	K17867
K17868						diphthine methyl ester acylhydrolase [EC:3.1.1.97]	K17868
K17878						EEF1A N-terminal glycine/lysine methyltransferase [EC:2.1.1.-]	K17878
K17879						peroxisomal coenzyme A diphosphatase NUDT7 [EC:3.6.1.-]	K17879
K17880						hygromycin-B 7''-O-kinase [EC:2.7.1.119]	K17880
K17883						mycothione reductase [EC:1.8.1.15]	K17883
K17884						archaetidylinositol phosphate synthase [EC:2.7.8.39]	K17884
K17887						sorting nexin-25	K17887
K17890						autophagy-related protein 16-1	K17890
K17891						FAD-linked sulfhydryl oxidase [EC:1.8.3.2]	K17891
K17893						ubiquinol oxidase [EC:1.10.3.11]	K17893
K17900						lipase ATG15 [EC:3.1.1.3]	K17900
K17906						autophagy-related protein 2	K17906
K17907						autophagy-related protein 9	K17907
K17908						autophagy-related protein 18	K17908
K17910						aminoglycoside 2''-phosphotransferase [EC:2.7.1.190]	K17910
K17917						sorting nexin-1/2	K17917
K17918						sorting nexin-3/12	K17918
K17919						sorting nexin-4	K17919
K17922						sorting nexin-8	K17922
K17938						peptide/bleomycin uptake transporter	K17938
K17943						pumilio RNA-binding family	K17943
K17945						"tropomyosin, fungi type"	K17945
K17947						dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]	K17947
K17948						N-acetylneuraminate epimerase [EC:5.1.3.24]	K17948
K17950						L-cysteate sulfo-lyase [EC:4.4.1.25]	K17950
K17967						mitochondrial fusion and transport protein UGO1	K17967
K17968						TRIAP1/MDM35 family protein	K17968
K17970						mitochondrial division protein 1	K17970
K17972						N-terminal acetyltransferase B complex catalytic subunit [EC:2.3.1.254]	K17972
K17973						N-terminal acetyltransferase B complex non-catalytic subunit	K17973
K17974						protein JSN1	K17974
K17979						mitochondrial distribution and morphology protein 31	K17979
K17981						mitochondrial fission process protein 1	K17981
K17983						"sensitive to high expression protein 9, mitochondrial"	K17983
K17987						next to BRCA1 gene 1 protein	K17987
K17989						L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]	K17989
K17990						vanadium chloroperoxidase [EC:1.11.1.10]	K17990
K17993						sulfhydrogenase subunit alpha [EC:1.12.1.3 1.12.1.5]	K17993
K17994						sulfhydrogenase subunit delta [EC:1.12.1.3 1.12.1.5]	K17994
K17996						sulfhydrogenase subunit beta (sulfur reductase) [EC:1.12.98.4]	K17996
K18005						[NiFe] hydrogenase diaphorase moiety large subunit [EC:1.12.1.2]	K18005
K18006						[NiFe] hydrogenase diaphorase moiety small subunit [EC:1.12.1.2]	K18006
K18007						NAD-reducing hydrogenase small subunit [EC:1.12.1.2]	K18007
K18009						"meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"	K18009
K18011						"beta-lysine 5,6-aminomutase beta subunit [EC:5.4.3.3]"	K18011
K18012						"L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11]"	K18012
K18013						3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]	K18013
K18014						3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14]	K18014
K18023						membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2]	K18023
K18028						"2,5-dihydroxypyridine 5,6-dioxygenase [EC:1.13.11.9]"	K18028
K18029						nicotinate dehydrogenase subunit A [EC:1.17.2.1]	K18029
K18030						nicotinate dehydrogenase subunit B [EC:1.17.2.1]	K18030
K18042						serine/threonine/tyrosine-interacting protein	K18042
K18055						hypoxia-inducible factor 1-alpha inhibitor (HIF hydroxylase) [EC:1.14.11.30]	K18055
K18058						L-asparagine oxygenase [EC:1.14.11.39]	K18058
K18065						Cdc25 family phosphatase [EC:3.1.3.48 1.20.4.1]	K18065
K18067						"phthalate 4,5-cis-dihydrodiol dehydrogenase [EC:1.3.1.64]"	K18067
K18068						"phthalate 4,5-dioxygenase [EC:1.14.12.7]"	K18068
K18069						"phthalate 4,5-dioxygenase reductase component [EC:1.18.1.-]"	K18069
